id_order,year_month,order_total_paid,product_name,product_url_img
97320874,2020-05,6.99,abonnement mensuel disney+ (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/fb/ee/a8/fbeea819-20df-8d64-9347-c752800ccebb/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
114392688,2020-05,15.99,netflix premium (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/00/6a/00/006a006e-c9ff-f760-c6fa-27c379eaeb1a/AppIcon-1x_U007emarketing-0-10-0-0-0-85-220-0.png/128x128bb-80.jpg
99041678,2020-05,11.99,netflix 2 ecrans - streaming illimite (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/94/fd/34/94fd34aa-e3be-0134-bb5b-b2378863bb57/App_Icon-marketing.lsr/128x128bb-80.jpg
102899571,2020-05,39.99,c+ cine series (1 stream) (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple113/v4/ac/b7/44/acb74437-d769-75aa-f280-6bc76e033cf0/CPAppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
98870583,2020-05,5.49,poignee de pieces,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/8e/6f/56/8e6f563d-6b9c-9426-e7d3-337696f143d8/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-85-220.png/128x128bb-80.jpg
100327982,2020-06,9.99,pack niveau 100,https://is4-ssl.mzstatic.com/image/thumb/Purple113/v4/7a/42/2f/7a422f34-2355-3244-4ae3-3ca0daedeb2d/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
97394621,2020-05,5.49,pack de demarrage hotel de ville,https://is2-ssl.mzstatic.com/image/thumb/Purple123/v4/96/65/9e/96659ebd-d1e6-06ed-6098-3eab7200787a/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-85-220.png/128x128bb-80.jpg
100025951,2020-05,3.49,extra small offer,https://is2-ssl.mzstatic.com/image/thumb/Purple113/v4/90/c1/2e/90c12e37-777e-70fd-1fe3-72e744593fdc/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-85-220.png/128x128bb-80.jpg
102090688,2020-08,10.99,tinder plus (renouvellement automatique),https://is4-ssl.mzstatic.com/image/thumb/Purple124/v4/11/03/9f/11039faa-b73e-6760-f534-723295170684/AppIcon-1x_U007emarketing-0-7-0-0-85-220.png/128x128bb-80.jpg
118611059,2020-08,7.99,netflix 1 screen - unlimited streaming (renouvellement automatique),https://is1-ssl.mzstatic.com/image/thumb/Purple114/v4/76/db/17/76db17fa-9ec6-86c4-4fc6-ec87bd7b01f0/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/128x128bb-80.jpg
101979067,2020-08,6.99,abonnement mensuel disney+ (renouvellement automatique),https://is2-ssl.mzstatic.com/image/thumb/Purple114/v4/f9/7c/21/f97c215c-1402-e99c-b306-f9998c2f51d2/AppIcon-1x_U007emarketing-0-7-0-0-0-85-220.png/128x128bb-80.jpg
103084168,2020-08,20.99,canal+ pack canal+ (1 stream) (renouvellement automatique),https://is4-ssl.mzstatic.com/image/thumb/Purple123/v4/dd/10/f4/dd10f4e6-c997-fa82-b9bb-2dea36ead28f/CPAppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-85-220.png/128x128bb-80.jpg
97734914,2020-06,1.09,poignee de pieces,https://is1-ssl.mzstatic.com/image/thumb/Purple123/v4/6b/42/e1/6b42e103-a8b4-d243-e95b-75f10cf5e613/AppIcon-0-0-1x_U007emarketing-0-0-0-10-0-85-220.png/128x128bb-80.jpg
